decision_id,label,default,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,brand,carrier,device_name,gms_version,manufacturer,network_type,screen_height,screen_width,screen_dpi
94dac214-e5d0-4758-b7ec-5a8e899b7f3e,modeling,0,0,41247.87,4526.83,0,73,15231.14,0,0,0,0,4583.33,1400.59,0,24,139.1,33,1.57,0,0,0,0,0,55121,800,0,0,0.76,531048.38,0,44448.88,0.23,1.04,0,0,0,0,6,158683.5116,8307.89,0,33006.4,0,1481.63,0,0,0,0,14467.5,0,0,OPPO,Jio 4G,OPPO CPH1931,21.02.14 (120406-352619232),OPPO,Unknown_0,1456,720,xhdpi
bcab40cd-4aaa-43d2-ae82-7d9ba2ded0a9,modeling,1,1,10278.99,35633.86,0,24,55549.52,0,0,0,0,1883.33,351.28,0,45381.52,2,6,1.26,0,0,0,0,0,23985.14,1860,0,0,0.82,83083.14,0,10521.63,0.12,1.14,0,0,0,0,0,2113.802462,28732.51,0,48840.27,0,401.55,0,0,0,0,465.6,0,0,OPPO,airtel,OPPO CPH1931,20.50.16 (120406-351607135),OPPO,Unknown_0,1456,720,xhdpi
c2f63ac4-e23c-40e7-8ef1-502c1d27df17,modeling,0,6,4603616.51,46242.48,0,354,542944,0,0,3,0,604414.36,30789.99,0,23708.39,50000,72,1.06,0,0,0,0,0,5634568.27,129495,0,0,,5634568.27,0,4603616.51,9.32,0.97,0,0,0,48,59,776183.6159,276073.22,0,633661.62,0,153453.88,2,86567,0,0,41219.97,0,0,1cb6aef939f56e90,,D8043bd139f034a8 1cb6aef93a8f1e32,20.36.15 (120400-333172415),d8043bd139f034a8,4G,1423,720,hdpi
dc8c2882-5868-470c-8669-9a7e87782a40,modeling,0,0,13656.98,15509.49,1,33,,1,0,2,15000,935.67,491.3,0,,24158.12,2,0.88,0,0,0,0,0,4043,0,1,0,0.2,90107.65,0,13075.83,0.18,0.44,0,0,0,0,0,8577.579649,,0,22674.78,0,435.86,0,0,0,0,4057.5,0,0,YU,airtel,YU5530,20.45.16 (040408-344294571),YU,4G,1776,1080,xxhdpi
e40e990a-e89c-43c5-b933-f2b096aa1d35,modeling,1,7,3532898.8,16363.64,0,363,542944,0,0,3,15000,405174.44,34803.92,0,30000,48585,73,1.87,0,0,0,0,0,6369117.75,185732,1,0,,6369117.75,0,3532898.8,13.96,0.97,0,0,0,62,62,21332.38509,296151.27,0,296151.27,0,253644.02,5,45058.5,0,0,40583.69,0,0,943a681d922e77b,,638b5f4f86dfed5d 943a681d9bc971d,20.36.15 (100300-333172415),638b5f4f86dfed5d,Wifi,1920,1080,xhdpi
e4445653-9ca9-4614-9f0e-73482910039f,modeling,0,1,201858.37,2955.6,0,113,91805.57,0,0,2,0,12415.68,2502.37,0,509.72,8241.73,16,1.06,0,2,0,0,0,457934.49,31838,0,0,23.77,457934.49,0,201858.37,1.69,1.02,0,0,0,9,17,354.903911,46680.8,0,87947.28,2,6728.61,1,6279.33,0,0,6379.23,0,0,samsung,Jio 4G,Samsung SM-J810G,20.45.16 (120300-344294571),samsung,Unknown_0,1396,720,hdpi
e529533f-1275-46cf-bb41-595f62ac6f9e,modeling,0,,9678.22,222.2,0,22,6625.63,0,0,1,,5978.91,244.68,0,97.63,625,7,1.25,,,0,,0,29935.97,,,0,1.17,44775.97,0,9678.22,0.17,0.99,0,,,0,0,7076.632607,19876.89,0,6509.46,,322.61,,,0,0,6528,0,,realme,Jio 4G,Realme RMX2027,20.50.16 (120406-351607135),realme,Unknown_0,1456,720,xhdpi
0601a0d2-57c1-431f-9bbc-5027d75d448b,modeling,0,1,16067.72,3622.79,0,55,9762,0,0,2,0,3400,582.95,0,2.02,8086.27,20,1.4,0,1,0,0,0,38001.71,9368,0,0,3.38,142398.55,0,16173.74,0.22,1.23,0,0,0,0,0,2900.344125,5423.33,0,17012.03,1,539.12,0,0,0,0,5273,0,0,OPPO,Jio 4G,OPPO CPH1911,20.50.16 (120408-351607135),OPPO,Unknown_0,2132,1080,xxhdpi
0c0b86da-2f92-42e0-b594-ad1cbeb447ab,modeling,1,1,96999.81,5970.88,0,83,43782.32,0,0,1,0,0,1202.83,2,10150.5,6264,0,1.73,0,0,0,0,0,221320.9,7152,0,0,,221320.9,0,96999.81,3.77,1.32,0,0,0,0,0,73991.92715,25754.31,0,25754.31,0,7642.41,1,0,0,0,2277.71,0,0,vivo,Jio 4G,Vivo 1919,20.50.16 (120408-351607135),vivo,Unknown_0,2184,1080,xxhdpi
0ef96202-8bd7-45ae-b64a-715ce6392b07,modeling,1,,216657.28,4138.7,0,163,109165.66,0,0,0,0,2063.62,4966.98,0,2055,17500,0,1.78,0,0,0,0,0,908957.88,0,0,0,23.55,908957.88,0,216657.28,1.9,1.09,0,0,0,0,0,1607.899879,57455.61,0,57218,0,9741.18,,,0,0,5201.54,0,0,xiaomi,Jio 4G,Xiaomi Redmi Note 6 Pro,20.39.15 (100400-335085812),Xiaomi,4G,2062,1080,xhdpi
