column,bins,WoE
gms_version,"(-0.01, 203915.0]",-0.989084147349495
gms_version,"(203915.0, 204516.0]",-0.38516909243386976
gms_version,"(204516.0, 204713.0]",0.32168962404752044
gms_version,"(204713.0, 204714.0]",0.5075890021893588
gms_version,"(204714.0, inf]",1.1689253436859086
gms_version,missing values,-1.1726035220124966
gms_sub_version,"(-0.01, 100406.0]",-0.03274196367117678
gms_sub_version,"(100406.0, 120408.0]",0.16028878299520255
gms_sub_version,"(120408.0, inf]",1.161440278799341
gms_sub_version,missing values,-1.1726035220124964
# NEGATIVE EVENTS IN LAST 6 MONTHS (LOANS),"(-0.01, 1.0]",0.2276351123537683
# NEGATIVE EVENTS IN LAST 6 MONTHS (LOANS),"(1.0, 3.0]",-0.33651340012640335
# NEGATIVE EVENTS IN LAST 6 MONTHS (LOANS),"(3.0, 5.0]",-0.6914380054847591
# NEGATIVE EVENTS IN LAST 6 MONTHS (LOANS),"(5.0, inf]",-1.0823043141717705
# NEGATIVE EVENTS IN LAST 6 MONTHS (LOANS),missing values,0.42855276958988214
CUMULATIVE MINIMUM BALANCE LAST 90 DAYS,"(-0.01, 150.0]",-0.059371089889424154
CUMULATIVE MINIMUM BALANCE LAST 90 DAYS,"(150.0, 450.0]",0.8104103772461944
CUMULATIVE MINIMUM BALANCE LAST 90 DAYS,"(450.0, 18300.0]",-0.03589357459098729
CUMULATIVE MINIMUM BALANCE LAST 90 DAYS,"(18300.0, inf]",-0.3865393310697469
CUMULATIVE MINIMUM BALANCE LAST 90 DAYS,missing values,0.5282758028411071
AVG. OF MINIMUM BALANCE PER MONTH LAST 360 DAYS,"(-0.01, 70.0]",-0.4154744419291989
AVG. OF MINIMUM BALANCE PER MONTH LAST 360 DAYS,"(70.0, 700.0]",0.059688270126564275
AVG. OF MINIMUM BALANCE PER MONTH LAST 360 DAYS,"(700.0, 1800.0]",0.3314544597384888
AVG. OF MINIMUM BALANCE PER MONTH LAST 360 DAYS,"(1800.0, 3600.0]",0.4882937649460655
AVG. OF MINIMUM BALANCE PER MONTH LAST 360 DAYS,"(3600.0, 13000.0]",0.021906744953359626
AVG. OF MINIMUM BALANCE PER MONTH LAST 360 DAYS,"(13000.0, 50000.0]",-0.12175656757929483
AVG. OF MINIMUM BALANCE PER MONTH LAST 360 DAYS,"(50000.0, inf]",-0.25048434148688375
AVG. OF MINIMUM BALANCE PER MONTH LAST 360 DAYS,missing values,0.5271335982623294
count_debit_transactions_last_360_days,"(-0.01, 70.0]",0.22822644527713676
count_debit_transactions_last_360_days,"(70.0, 85.0]",-0.27184568485406635
count_debit_transactions_last_360_days,"(85.0, 100.0]",-0.5242596184683893
count_debit_transactions_last_360_days,"(100.0, 130.0]",0.3131644232241607
count_debit_transactions_last_360_days,"(130.0, 250.0]",0.0950311306258667
count_debit_transactions_last_360_days,"(250.0, inf]",-0.5594371953689674
count_debit_transactions_last_360_days,missing values,0.468293098239396
Last closing balance amount (overall),"(-inf, 100.0]",-0.2569423968720495
Last closing balance amount (overall),"(100.0, 3700.0]",0.29598126733731384
Last closing balance amount (overall),"(3700.0, 7500.0]",0.5488735848987357
Last closing balance amount (overall),"(7500.0, 13000.0]",0.30516032209631067
Last closing balance amount (overall),"(13000.0, 35000.0]",0.024981055749767524
Last closing balance amount (overall),"(35000.0, inf]",-0.6544167420077737
Last closing balance amount (overall),missing values,0.468293098239396
# ATM TRANSACTIONS LIFETIME,"(-0.01, 3.0]",0.03685250372797111
# ATM TRANSACTIONS LIFETIME,"(3.0, 8.0]",0.1541404490202524
# ATM TRANSACTIONS LIFETIME,"(8.0, 13.0]",0.6524682236826738
# ATM TRANSACTIONS LIFETIME,"(13.0, 33.0]",-0.1661732119571456
# ATM TRANSACTIONS LIFETIME,"(33.0, inf]",-0.6610908490954674
# ATM TRANSACTIONS LIFETIME,missing values,0.4682930982393959
AVG. MONTHLY DEBIT LAST 30 DAYS BY AVG. MONTHLY DEBIT LAST 90 DAYS,"(-0.01, 1.7]",0.10345857877474225
AVG. MONTHLY DEBIT LAST 30 DAYS BY AVG. MONTHLY DEBIT LAST 90 DAYS,"(1.7, 1.88]",-0.4214179958300474
AVG. MONTHLY DEBIT LAST 30 DAYS BY AVG. MONTHLY DEBIT LAST 90 DAYS,"(1.88, 2.15]",-0.6191925109639567
AVG. MONTHLY DEBIT LAST 30 DAYS BY AVG. MONTHLY DEBIT LAST 90 DAYS,"(2.15, 3.0]",0.3964345794701209
AVG. MONTHLY DEBIT LAST 30 DAYS BY AVG. MONTHLY DEBIT LAST 90 DAYS,"(3.0, inf]",-1.236454993999029
AVG. MONTHLY DEBIT LAST 30 DAYS BY AVG. MONTHLY DEBIT LAST 90 DAYS,missing values,0.35909380627440435
# NEFT/RTGS/IMPS TRANSACTIONS LAST 360 DAYS,"(-0.01, 2.0]",0.15173510228576056
# NEFT/RTGS/IMPS TRANSACTIONS LAST 360 DAYS,"(2.0, 5.0]",-0.5145977075566519
# NEFT/RTGS/IMPS TRANSACTIONS LAST 360 DAYS,"(5.0, 15.0]",0.03531593854151556
